database_name,database_owner,database_start_time,schema_name,schema_owner,schema_create_time,table_name,table_owner,table_create_time,column_name,column_type,column_length,column_default_value,column_nullable,column_numeric_precision,column_numeric_scale,column_id
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,last_day_in_week_indicator,int,8,,t,,,45035996273707162-9
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,selling_season,varchar(32),32,,t,,,45035996273707162-21
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,date_dimension,dbadmin,2019-04-22 18:54:59.317002-04,weekday_indicator,char(7),7,,t,,,45035996273707162-20
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,employee_dimension,dbadmin,2019-04-22 18:54:59.326539-04,annual_salary,int,8,,t,,,45035996273707170-16
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,employee_dimension,dbadmin,2019-04-22 18:54:59.326539-04,courtesy_title,varchar(8),8,,t,,,45035996273707170-3
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,employee_dimension,dbadmin,2019-04-22 18:54:59.326539-04,employee_age,int,8,,t,,,45035996273707170-7
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,employee_dimension,dbadmin,2019-04-22 18:54:59.326539-04,employee_city,varchar(64),64,,t,,,45035996273707170-10
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,employee_dimension,dbadmin,2019-04-22 18:54:59.326539-04,employee_first_name,varchar(64),64,,t,,,45035996273707170-4
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,employee_dimension,dbadmin,2019-04-22 18:54:59.326539-04,employee_gender,varchar(8),8,,t,,,45035996273707170-2
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,employee_dimension,dbadmin,2019-04-22 18:54:59.326539-04,employee_key,int,8,,f,,,45035996273707170-1
